depth (cm),age (yr BP) 2.5%,age (yr BP) 50%,age (yr BP) 97.5%
62,23.792163543441227,24.792163543441227,25.792163543441227
63,26.164556962025316,27.164556962025316,28.164556962025316
64,27.576177285318547,28.576177285318547,29.576177285318547
65,30.158953722334015,31.158953722334015,33.15895372233401
66,31.234393878372934,32.234393878372934,34.234393878372934
67,31.637132501006846,32.637132501006846,34.637132501006846
68,32.219026548672574,33.219026548672574,35.219026548672574
69,33.79581795817958,34.79581795817958,36.79581795817958
70,34.71039182282794,36.420783645655874,38.420783645655874
71,36.088607594936725,38.088607594936725,40.088607594936725
72,39.145687645687644,41.145687645687644,43.14932983682983
73,40.984870848708475,42.98523985239851,45.970479704797015
74,41.882196634189555,44.836408364083645,47.836408364083645
75,44.25830258302583,47.25830258302583,50.25830258302583
76,45.096456692913385,48.11130039750142,51.11130039750142
77,45.588582677165356,48.67915956842703,51.67915956842703
78,46.64254062038406,50.403940886699516,53.80788177339901
79,48.224734656206735,52.224734656206735,56.224734656206735
80,48.686202122750345,52.686202122750345,56.686202122750345
81,49.506329113924046,53.506329113924046,57.50632911392406
82,50.895833333333336,54.895833333333336,58.895833333333336
83,51.830708661417326,56.047091412742375,60.04709141274241
84,55.12306161231865,59.883656509695285,64.7673130193906
85,58.62025316455695,63.620253164556914,68.62500000000003
86,63.362831858407056,68.36283185840705,73.36283185840705
87,66.85126582278478,71.85126582278478,76.85126582278482
88,68.2745727853115,73.44375553587244,78.44375553587246
89,68.85235661555934,74.58860759493669,79.58860759493673
90,71.10928571428572,77.1092857142857,82.21969852165844
91,71.82357142857144,77.82357142857141,83.56941429977502
92,73.29802955665026,79.2980295566502,85.2980295566502
93,76.36725663716814,82.14139693356047,88.36725663716807
94,78.99798792756538,84.45756457564576,90.99798792756536
95,80.53645833333333,86.04965343229657,92.53645833333333
96,81.95003692762185,87.57041629760849,93.95125553914326
97,83.3081986834231,88.9728370221328,95.95018450184502
98,83.90664272890484,89.90664272890486,96.86182462356066
99,85.54947916666666,91.47711124748656,98.33397497593839
