year,EK,SK
22,0.02,0.1590809249945454
23,0.02,0.15789835832522592
24,0.02,0.1590452586566578
25,0.02,0.15787243372908388
26,0.02,0.15628322941578013
27,0.02,0.15730062564875066
28,0.02,0.15563962500227296
29,0.02,0.15923012043914533
30,0.02,0.15923012043914533
31,0.02,0.1575730150210488
32,0.02,0.1575730150210488
33,0.02,0.15965030458875631
34,0.02,0.1595739332412273
35,0.02,0.15755999564740453
36,0.02,0.15507640638505213
37,0.02,0.15277720009281534
38,0.02,0.15105625915226287
39,0.02,0.15061911434980207
40,0.02,0.14817540010257976
41,0.02,0.14546060749447165
42,0.02,0.14559655297946344
43,0.132,0.14513385321341307
44,0.121,0.1442126165600023
45,0.117,0.14714092908320245
46,0.124,0.14365557889946848
47,0.102,0.14171858736273013
48,0.123,0.14167743407838554
49,0.127,0.14117008778284207
50,0.134,0.14011231332945434
51,0.143,0.13861656658607432
52,0.123,0.1398833612728433
53,0.1,0.13904291012329584
54,0.115,0.14138692325702573
55,0.115,0.14015319851337815
56,0.203,0.14396521594425954
57,0.181,0.14296585925703575
58,0.083,0.1434329656006885
59,0.105,0.1423518275743309
60,0.086,0.14315293039876334
61,0.094,0.14310790737393642
62,0.08,0.1420283819794121
63,0.081,0.14006581316773015
64,0.087,0.14146360030545604
65,0.103,0.1389674904630129
66,0.104,0.140730666429048
67,0.093,0.1408156380113747
68,0.099,0.14588679671889088
69,0.108,0.14670729590234674
70,0.103,0.14676756959368903
71,0.095,0.14821415047387532
72,0.108,0.15189752874047527
73,0.086,0.15229185345629512
74,0.1,0.1554189541140605
75,0.092,0.15164509026694573
76,0.102,0.15015607130360292
77,0.094,0.15152848267393912
78,0.079,0.15527166957795516
79,0.12,0.15622815380545102
80,0.122,0.1524657152195415
81,0.099,0.15027955977945945
82,0.112,0.15164580240064196
83,0.121,0.15238018509740014
84,0.108,0.1584353176634963
85,0.124,0.15783055676172822
86,0.133,0.1583363363070975
87,0.129,0.15674424652745156
88,0.117,0.15973118093621538
89,0.135,0.1610601171164935
90,0.105,0.1576672941840456
91,0.138,0.15974382511716875
92,0.122,0.1592417292035367
93,0.128,0.1590937376037878
94,0.119,0.15630479887094884
95,0.12,0.15618621146907055
96,0.117,0.15583781440020114
97,0.122,0.15536542454348712
98,0.12,0.1543741543761067
99,0.119,0.15489766276735703
100,0.121,0.15489766276735703
101,0.121,0.1535124970427656
102,0.123,0.1543741543761067
103,0.122,0.15388741969439146
104,0.108,0.16029237586687684
105,0.12,0.16029237586687684
106,0.106,0.16029237586687684
107,0.12,0.16198590573327348
108,0.12,0.16696718606204275
109,0.117,0.16459431954220388
110,0.103,0.16216893537922525
111,0.104,0.1636502243044525
112,0.103,0.1656324496155601
113,0.115,0.16548121165676444
114,0.121,0.16309252082936848
115,0.111,0.1622920500842915
116,0.116,0.16055927096280279
117,0.113,0.16152333791362083
118,0.121,0.1609706936220743
119,0.116,0.16515401427615964
120,0.124,0.16819495746614052
121,0.112,0.16734825417864474
122,0.1,0.1690074154838515
123,0.102,0.17128198118598253
124,0.066,0.17336795733906787
125,0.051,0.17499522236291637
126,0.055,0.17584355908914612
127,0.045,0.17587343015838178
128,0.062,0.17793371156133533
129,0.044,0.17634145225882816
130,0.057,0.17305343076718688
131,0.054,0.17097595915134067
132,0.051,0.17301260015868122
133,0.043,0.17150071193541006
134,0.061,0.16883662883799133
135,0.048,0.1673662606201671
136,0.046,0.17045649114742706
137,0.054,0.16559064142428329
138,0.055,0.16616923958017937
139,0.051,0.16395875706112742
140,0.054,0.16620236381626807
141,0.052,0.16824012529507526
142,0.051,0.16811684842404417
143,0.051,0.16615518870272378
144,0.043,0.16541423444084044
145,0.05,0.16541423444084044
146,0.043,0.16958810694196935
147,0.044,0.1681217436112681
148,0.048,0.1681217436112681
149,0.051,0.16864515036171662
150,0.053,0.16643067703451753
151,0.045,0.17046545712309427
152,0.048,0.16902891264687045
153,0.049,0.16648686649011202
154,0.047,0.16301316730655338
155,0.056,0.16301316730655338
156,0.044,0.16301316730655338
157,0.052,0.16316751458376735
158,0.054,0.1670319584405828
159,0.044,0.16652683214783762
160,0.056,0.1616980631639569
161,0.052,0.1613003550696046
162,0.049,0.1621029058645405
163,0.054,0.15715481995144995
164,0.054,0.1604514759257402
165,0.045,0.16156050103829883
166,0.136,0.1599383577205636
167,0.189,0.1626961223763464
168,0.184,0.16115082600200167
169,0.152,0.1624365256329595
170,0.167,0.16208376646819064
171,0.151,0.16630936040936126
172,0.168,0.16805477259768953
173,0.147,0.16576946443177318
174,0.16,0.16493406464384455
175,0.158,0.1622044944787583
176,0.175,0.16022260895442192
177,0.143,0.16063966691850087
178,0.151,0.15895049469449207
179,0.062,0.15765867088602095
180,0.055,0.16011203653843414
181,0.056,0.15951841962320673
182,0.054,0.15473093921480996
183,0.047,0.15249292484606233
184,0.06,0.15056716107145726
185,0.055,0.1516560740559028
186,0.058,0.1512652363774766
187,0.063,0.1516560740559028
188,0.05,0.15221992141614882
189,0.051,0.15207704195517363
190,0.049,0.14824857342260137
191,0.051,0.1487986298833174
192,0.063,0.14912593637153237
193,0.054,0.14650507090481518
194,0.067,0.14532107509670533
195,0.041,0.1446424452982523
196,0.062,0.14381836735089368
197,0.05,0.14528389914502418
198,0.055,0.1451797842651299
199,0.059,0.14308283847169964
200,0.045,0.1421888642426032
201,0.052,0.1418021064929376
202,0.054,0.1385928115631202
203,0.052,0.14046865859819008
204,0.051,0.13995613229549395
205,0.061,0.13934059992226275
206,0.067,0.14126411481509482
207,0.048,0.14109278980609175
208,0.063,0.1393337969181152
209,0.042,0.14001717357621435
210,0.042,0.1398066775177925
211,0.062,0.1412733116343578
212,0.065,0.14485264902214584
213,0.061,0.14447269363951504
214,0.055,0.14561122020120132
215,0.066,0.14261215437066813
216,0.06,0.1429537140328194
217,0.046,0.13992120290692037
218,0.072,0.13561137498276973
219,0.069,0.13265352721001725
220,0.053,0.13173188296810978
221,0.072,0.13112090609499027
222,0.069,0.13170110839096633
223,0.083,0.13151944423534281
224,0.063,0.13013982005759375
225,0.067,0.12876111832311998
226,0.076,0.12778878639640973
227,0.054,0.12804930228607683
228,0.08,0.12803888922401893
229,0.068,0.12873125144240466
230,0.079,0.12660028786513333
231,0.071,0.12783804233498217
232,0.063,0.12571310334106992
233,0.064,0.1243985088410994
234,0.059,0.12349410707987564
235,0.064,0.12529433856788408
236,0.069,0.12199433369222124
237,0.077,0.12311874398987772
238,0.047,0.12185154357993304
239,0.057,0.12101452354598102
240,0.07,0.1179679363863822
241,0.065,0.11758393474704396
242,0.06,0.11724115816368426
243,0.06,0.11724115816368426
